mes_ano,uf,regiao,preco_medio_gasolina_c,previsao_flaml,erro,erro_absoluto
2023-04-01,MG,SUDESTE,5.28,5.422444808817096,-0.14244480881709531,0.14244480881709531
2022-07-01,SP,SUDESTE,5.85,5.70789058037,0.14210941962999968,0.14210941962999968
2025-03-01,AM,NORTE,7.32,7.178046957714982,0.14195304228501815,0.14195304228501815
2025-01-01,AL,NORDESTE,6.21,6.070230870893787,0.13976912910621309,0.13976912910621309
2022-11-01,RN,NORDESTE,5.43,5.290279100224488,0.1397208997755115,0.1397208997755115
2023-06-01,RJ,SUDESTE,5.37,5.508270248133474,-0.1382702481334741,0.1382702481334741
2023-08-01,MS,CENTRO OESTE,5.39,5.5280186066172865,-0.13801860661728682,0.13801860661728682
2024-02-01,AM,NORTE,5.98,6.116737420188876,-0.1367374201888758,0.1367374201888758
2023-01-01,PR,SUL,5.09,5.22626089525068,-0.13626089525067986,0.13626089525067986
2025-08-01,CE,NORDESTE,6.36,6.224843823835339,0.1351561761646609,0.1351561761646609
2025-11-01,SE,NORDESTE,6.51,6.375770613056828,0.1342293869431721,0.1342293869431721
2021-08-01,MT,CENTRO OESTE,5.98,5.846396966800488,0.1336030331995124,0.1336030331995124
2022-03-01,DF,CENTRO OESTE,7.143,7.010788243536953,0.13221175646304673,0.13221175646304673
2021-05-01,AC,NORTE,6.319,6.1883023024038755,0.13069769759612448,0.13069769759612448
2024-04-01,CE,NORDESTE,5.72,5.850530919788206,-0.13053091978820586,0.13053091978820586
2022-05-01,PR,SUL,7.28,7.151059228261579,0.12894077173842167,0.12894077173842167
2024-04-01,MA,NORDESTE,5.58,5.707452668767097,-0.1274526687670967,0.1274526687670967
2025-10-01,MG,SUDESTE,5.97,6.096523165548262,-0.12652316554826193,0.12652316554826193
2024-08-01,BA,NORDESTE,6.36,6.233659420547389,0.12634057945261112,0.12634057945261112
2023-05-01,ES,SUDESTE,5.41,5.534500232335585,-0.12450023233558483,0.12450023233558483
2025-01-01,RS,SUL,6.03,6.152092879872664,-0.12209287987266393,0.12209287987266393
2024-03-01,RR,NORTE,6.16,6.282049482530436,-0.12204948253043568,0.12204948253043568
2023-12-01,RR,NORTE,5.89,6.011046476359434,-0.12104647635943433,0.12104647635943433
2021-07-01,PI,NORDESTE,6.212,6.0936028962178765,0.1183971037821232,0.1183971037821232
2021-02-01,RS,SUL,5.089,4.972167498786956,0.116832501213044,0.116832501213044
2025-05-01,AC,NORTE,7.72,7.604425240949584,0.11557475905041592,0.11557475905041592
2021-09-01,AL,NORDESTE,6.138,6.2525034862000295,-0.11450348620002959,0.11450348620002959
2021-05-01,PA,NORTE,5.653,5.767136431363062,-0.11413643136306284,0.11413643136306284
2025-10-01,RR,NORTE,6.95,6.836016458324124,0.11398354167587588,0.11398354167587588
2024-06-01,MT,CENTRO OESTE,5.81,5.923204784563878,-0.11320478456387839,0.11320478456387839
2024-02-01,PI,NORDESTE,5.47,5.581782262538645,-0.11178226253864487,0.11178226253864487
2022-03-01,GO,CENTRO OESTE,7.219,7.109090540792142,0.10990945920785844,0.10990945920785844
2021-08-01,CE,NORDESTE,5.934,6.040825216632466,-0.10682521663246547,0.10682521663246547
2025-03-01,AC,NORTE,7.72,7.613756598148992,0.10624340185100767,0.10624340185100767
2022-09-01,RS,SUL,4.87,4.975992423858406,-0.1059924238584058,0.1059924238584058
2021-07-01,PR,SUL,5.501,5.606191640701101,-0.10519164070110065,0.10519164070110065
