mes_ano,uf,regiao,preco_medio_gasolina_c,previsao_lightautoml,erro,erro_absoluto
2023-12-01,RR,NORTE,5.89,5.9444814,-0.05448137283325227,0.05448137283325227
2024-10-01,AM,NORTE,6.97,6.916961,0.053038806915282954,0.053038806915282954
2024-07-01,PA,NORTE,6.1,6.047181,0.05281887054443324,0.05281887054443324
2023-02-01,MG,SUDESTE,4.97,5.02228,-0.052280216217041264,0.052280216217041264
2022-03-01,SC,SUL,6.832,6.883294,-0.051294105529785305,0.051294105529785305
2021-12-01,AC,NORTE,7.044,7.095144,-0.05114379501342814,0.05114379501342814
2021-06-01,AL,NORDESTE,5.863,5.8119206,0.05107935714721723,0.05107935714721723
2021-10-01,RJ,SUDESTE,6.875,6.9260607,-0.05106067657470703,0.05106067657470703
2024-01-01,BA,NORDESTE,5.79,5.739576,0.05042413711547855,0.05042413711547855
2025-01-01,PE,NORDESTE,6.22,6.270198,-0.05019786834716822,0.05019786834716822
2025-06-01,MG,SUDESTE,6.12,6.1695914,-0.04959142684936513,0.04959142684936513
2024-03-01,BA,NORDESTE,5.88,5.9295807,-0.04958068847656261,0.04958068847656261
2023-01-01,RN,NORDESTE,5.24,5.1908045,0.04919551849365256,0.04919551849365256
2024-07-01,SE,NORDESTE,6.35,6.3979874,-0.047987365722656605,0.047987365722656605
2024-07-01,GO,CENTRO OESTE,6.09,6.0420227,0.04797729492187486,0.04797729492187486
2025-01-01,CE,NORDESTE,6.37,6.322074,0.04792606353759776,0.04792606353759776
2024-05-01,RR,NORTE,6.14,6.1877146,-0.047714576721191726,0.047714576721191726
2021-02-01,RN,NORDESTE,5.298,5.250838,0.04716219711303715,0.04716219711303715
2021-08-01,AC,NORTE,6.431,6.4774613,-0.04646133804321284,0.04646133804321284
2024-05-01,CE,NORDESTE,5.91,5.9552593,-0.045259323120117045,0.045259323120117045
2024-03-01,RR,NORTE,6.16,6.2052517,-0.045251693725585795,0.045251693725585795
2021-08-01,BA,NORDESTE,6.054,6.0984793,-0.044479270935058324,0.044479270935058324
2021-11-01,MG,SUDESTE,7.012,7.0561714,-0.04417141723632856,0.04417141723632856
2022-01-01,PA,NORTE,6.79,6.746118,0.043881931304931676,0.043881931304931676
2025-01-01,AL,NORDESTE,6.21,6.166386,0.043613872528076136,0.043613872528076136
2023-02-01,TO,NORTE,5.27,5.313467,-0.043467025756836364,0.043467025756836364
2025-07-01,MS,CENTRO OESTE,5.95,5.992906,-0.04290609359741193,0.04290609359741193
2025-06-01,PA,NORTE,6.27,6.3126526,-0.042652587890625426,0.042652587890625426
2022-02-01,RR,NORTE,6.48,6.438449,0.04155109405517621,0.04155109405517621
2024-07-01,AC,NORTE,7.15,7.1094003,0.04059972763061559,0.04059972763061559
2021-08-01,MT,CENTRO OESTE,5.98,6.01904,-0.039040107727050355,0.039040107727050355
2025-09-01,PA,NORTE,6.25,6.2110376,0.038962364196777344,0.038962364196777344
2025-01-01,ES,SUDESTE,6.2,6.2388883,-0.0388882637023924,0.0388882637023924
2022-03-01,MA,NORDESTE,7.02,7.058525,-0.038525085449219176,0.038525085449219176
2022-02-01,PR,SUL,6.474,6.4362745,0.03772547149658223,0.03772547149658223
2022-08-01,PI,NORDESTE,5.57,5.5327525,0.03724748611450224,0.03724748611450224
2025-08-01,PA,NORTE,6.23,6.266024,-0.03602411270141559,0.03602411270141559
2021-08-01,RJ,SUDESTE,6.454,6.418152,0.03584814453124974,0.03584814453124974
2022-02-01,PB,NORDESTE,6.455,6.4907646,-0.035764617919921804,0.035764617919921804
2023-08-01,PR,SUL,5.81,5.77455,0.03545003890991172,0.03545003890991172
2022-09-01,DF,CENTRO OESTE,4.89,4.925276,-0.03527580261230501,0.03527580261230501
2023-07-01,MG,SUDESTE,5.36,5.395244,-0.03524412155151335,0.03524412155151335
2022-10-01,AC,NORTE,5.3,5.3352,-0.03519983291625994,0.03519983291625994
2023-12-01,RJ,SUDESTE,5.62,5.584808,0.03519212722778331,0.03519212722778331
2022-05-01,SC,SUL,7.18,7.1450577,0.034942321777343466,0.034942321777343466
2025-04-01,BA,NORDESTE,6.37,6.4045863,-0.03458631515502919,0.03458631515502919
2022-11-01,RS,SUL,4.91,4.9445066,-0.03450664520263658,0.03450664520263658
2021-03-01,RJ,SUDESTE,6.04,6.0065403,0.03345970153808597,0.03345970153808597
2024-05-01,MS,CENTRO OESTE,5.69,5.722981,-0.03298097610473594,0.03298097610473594
2023-07-01,SP,SUDESTE,5.42,5.387389,0.032610816955566335,0.032610816955566335
2023-08-01,TO,NORTE,6.09,6.058015,0.03198513031005845,0.03198513031005845
2022-11-01,MT,CENTRO OESTE,5.08,5.11175,-0.031750125885009695,0.031750125885009695
2024-01-01,RR,NORTE,5.89,5.858562,0.03143800735473601,0.03143800735473601
2021-04-01,AL,NORDESTE,5.65,5.618861,0.031138801574707387,0.031138801574707387
2024-07-01,AM,NORTE,6.63,6.5990543,0.03094566345214833,0.03094566345214833
2022-03-01,AM,NORTE,7.129,7.098242,0.030758193969726122,0.030758193969726122
2025-05-01,DF,CENTRO OESTE,6.61,6.579969,0.030031070709228835,0.030031070709228835
2023-06-01,MS,CENTRO OESTE,5.19,5.1603875,0.029612483978271875,0.029612483978271875
2021-03-01,MG,SUDESTE,5.673,5.702153,-0.02915320587158199,0.02915320587158199
2024-10-01,PB,NORDESTE,6.02,6.049076,-0.02907608032226605,0.02907608032226605
2025-02-01,MA,NORDESTE,6.2,6.171111,0.028888893127441584,0.028888893127441584
2024-06-01,MT,CENTRO OESTE,5.81,5.7812943,0.02870565414428672,0.02870565414428672
2025-10-01,RS,SUL,6.2,6.171599,0.028401088714599787,0.028401088714599787
2024-06-01,SE,NORDESTE,6.3,6.272073,0.027927207946777166,0.027927207946777166
2023-05-01,GO,CENTRO OESTE,5.43,5.4024673,0.027532749176025106,0.027532749176025106
2025-03-01,AP,NORTE,6.07,6.0971785,-0.027178459167480185,0.027178459167480185
2022-09-01,RJ,SUDESTE,5.12,5.147101,-0.027100925445556534,0.027100925445556534
2021-11-01,MS,CENTRO OESTE,6.543,6.5162406,0.026759403228759915,0.026759403228759915
2025-05-01,RN,NORDESTE,6.29,6.2633486,0.026651420593261754,0.026651420593261754
2024-11-01,MT,CENTRO OESTE,6.11,6.135939,-0.02593912124633757,0.02593912124633757
2023-05-01,ES,SUDESTE,5.41,5.4355288,-0.02552875518798814,0.02552875518798814
2025-05-01,RR,NORTE,6.95,6.9247727,0.025227260589599787,0.025227260589599787
2023-07-01,RR,NORTE,5.93,5.954552,-0.024552173614502237,0.024552173614502237
2024-04-01,SE,NORDESTE,6.17,6.1457515,0.024248523712158132,0.024248523712158132
2024-12-01,SE,NORDESTE,6.29,6.2658153,0.02418474197387699,0.02418474197387699
2025-04-01,AM,NORTE,7.23,7.205844,0.024156074523926208,0.024156074523926208
2023-10-01,RJ,SUDESTE,5.68,5.6558723,0.02412765502929659,0.02412765502929659
2024-11-01,AP,NORTE,5.91,5.933482,-0.023482170104980327,0.023482170104980327
2023-09-01,AL,NORDESTE,5.86,5.838885,0.021115169525146804,0.021115169525146804
2025-02-01,SE,NORDESTE,6.57,6.5489225,0.021077461242676065,0.021077461242676065
2024-06-01,TO,NORTE,6.04,6.0600986,-0.020098648071289027,0.020098648071289027
2025-11-01,DF,CENTRO OESTE,6.35,6.3695893,-0.019589328765869496,0.019589328765869496
2025-03-01,DF,CENTRO OESTE,6.59,6.6088405,-0.01884046554565444,0.01884046554565444
2021-08-01,RO,NORTE,6.038,6.019819,0.01818121719360377,0.01818121719360377
2021-02-01,AL,NORDESTE,5.058,5.0415125,0.016487510681152173,0.016487510681152173
2024-07-01,CE,NORDESTE,6.25,6.2342134,0.01578664779663086,0.01578664779663086
2022-11-01,RO,NORTE,5.17,5.154485,0.015514774322509695,0.015514774322509695
2024-12-01,MG,SUDESTE,6.07,6.0849757,-0.014975719451904013,0.014975719451904013
2023-02-01,PR,SUL,5.22,5.2348337,-0.014833717346191655,0.014833717346191655
2025-02-01,PA,NORTE,6.4,6.3862467,0.013753318786621449,0.013753318786621449
2022-03-01,PI,NORDESTE,7.681,7.667407,0.013592964172363331,0.013592964172363331
2025-05-01,MA,NORDESTE,5.95,5.9635034,-0.013503360748290838,0.013503360748290838
2024-12-01,GO,CENTRO OESTE,6.2,6.213482,-0.013481903076171697,0.013481903076171697
2021-01-01,ES,SUDESTE,4.642,4.6286106,0.013389389038086286,0.013389389038086286
2022-09-01,MT,CENTRO OESTE,5.06,5.0468345,0.013165531158446875,0.013165531158446875
2024-01-01,PB,NORDESTE,5.44,5.4279504,0.012049617767334375,0.012049617767334375
2024-12-01,TO,NORTE,6.52,6.5081267,0.011873264312743714,0.011873264312743714
2023-06-01,SP,SUDESTE,5.27,5.2816944,-0.011694412231445739,0.011694412231445739
2021-10-01,MS,CENTRO OESTE,6.217,6.2055917,0.011408321380614872,0.011408321380614872
2024-02-01,AL,NORDESTE,5.67,5.6811495,-0.011149482727050852,0.011149482727050852
2024-07-01,SP,SUDESTE,5.77,5.780764,-0.010764102935791442,0.010764102935791442
2024-03-01,TO,NORTE,5.88,5.8696675,0.01033246994018544,0.01033246994018544
2022-07-01,SP,SUDESTE,5.85,5.839777,0.010223007202148082,0.010223007202148082
2022-12-01,PI,NORDESTE,5.21,5.2199984,-0.009998359680175817,0.009998359680175817
2024-06-01,PI,NORDESTE,5.69,5.699775,-0.009775218963622656,0.009775218963622656
2024-02-01,ES,SUDESTE,5.8,5.790886,0.009114074707031072,0.009114074707031072
