mes_ano,uf,preco_medio_etanol_hidratado,preco_medio_gasolina_c,volume_etanol_hidratado_m3,volume_gasolina_c_m3,uf_nome,regiao,volume_total_analisado_m3,participacao_etanol,razao_etanol_gasolina,preco_relativo_etanol_gasolina,variacao_preco_gasolina_c,variacao_volume_gasolina_c,ano,mes
2022-10-01,PE,3.57,4.89,16806.656,124463.71,PERNAMBUCO,NORDESTE,141270.366,0.11896802192754281,0.1350325809828423,0.7300613496932515,-0.0020408163265307477,-0.02397173476285397,2022,10
2022-11-01,PE,3.63,4.96,17309.448,117846.45,PERNAMBUCO,NORDESTE,135155.898,0.1280702378226957,0.14688136978245844,0.7318548387096774,0.014314928425357865,-0.05316617992505612,2022,11
2022-12-01,PE,3.82,4.99,19315.0,140134.65,PERNAMBUCO,NORDESTE,159449.65,0.12113541798304356,0.1378317211339237,0.7655310621242485,0.006048387096774244,0.18912915917280504,2022,12
2023-01-01,PE,4.02,4.91,13142.0,121224.45,PERNAMBUCO,NORDESTE,134366.45,0.0978071534970225,0.10841047329973451,0.8187372708757636,-0.01603206412825653,-0.1349430708250957,2023,1
2023-02-01,PE,4.04,5.02,13733.9,118101.95,PERNAMBUCO,NORDESTE,131835.85,0.10417424395564635,0.11628851174768917,0.804780876494024,0.02240325865580428,-0.025758005088907354,2023,2
2023-03-01,PE,4.16,5.47,16769.617,120694.15,PERNAMBUCO,NORDESTE,137463.767,0.12199299761660103,0.13894308050555887,0.760511882998172,0.08964143426294835,0.02194883319030727,2023,3
2023-04-01,PE,4.12,5.35,16158.6,112617.6,PERNAMBUCO,NORDESTE,128776.20000000001,0.12547815512493768,0.1434820134685875,0.7700934579439253,-0.021937842778793404,-0.06691749351563425,2023,4
2023-05-01,PE,4.18,5.15,15118.65,131617.05,PERNAMBUCO,NORDESTE,146735.69999999998,0.10303320868745644,0.11486847638660798,0.8116504854368931,-0.03738317757009335,0.16870764427585017,2023,5
2023-06-01,PE,4.28,5.45,15956.8,120166.5,PERNAMBUCO,NORDESTE,136123.3,0.11722313520168848,0.13278908847307694,0.7853211009174312,0.058252427184465994,-0.08699898683339269,2023,6
2023-07-01,PE,4.5,5.63,14708.197,117565.351,PERNAMBUCO,NORDESTE,132273.548,0.11119530111946493,0.12510656307231202,0.7992895204262878,0.03302752293577971,-0.02164620755368596,2023,7
2023-08-01,PE,4.46,5.82,19575.5,122843.35,PERNAMBUCO,NORDESTE,142418.85,0.13745020409868497,0.15935335530983158,0.7663230240549828,0.03374777975133214,0.044894171242682024,2023,8
2023-09-01,PE,4.39,5.91,20573.7,118815.05,PERNAMBUCO,NORDESTE,139388.75,0.14759942965268,0.1731573567489977,0.7428087986463621,0.015463917525773141,-0.032792169865116905,2023,9
2023-10-01,PE,4.18,5.7,20793.05,123491.55,PERNAMBUCO,NORDESTE,144284.6,0.14411136046397188,0.16837629781146968,0.7333333333333333,-0.035532994923857864,0.03935949191621768,2023,10
2023-11-01,PE,3.94,5.48,21652.3,121959.0,PERNAMBUCO,NORDESTE,143611.3,0.15077016919977745,0.17753753310538786,0.718978102189781,-0.038596491228070184,-0.012410160857159847,2023,11
2023-12-01,PE,3.77,5.31,26039.1,134999.651,PERNAMBUCO,NORDESTE,161038.75100000002,0.1616946221844455,0.19288272085977465,0.7099811676082863,-0.031021897810219135,0.10692651628826089,2023,12
2024-01-01,PE,3.81,5.47,27854.15,125083.95,PERNAMBUCO,NORDESTE,152938.1,0.18212695201522708,0.22268364566357235,0.696526508226691,0.030131826741996326,-0.0734498269184416,2024,1
2024-02-01,PE,3.99,5.68,26706.5,108306.35,PERNAMBUCO,NORDESTE,135012.85,0.19780709762070794,0.24658295658564802,0.7024647887323945,0.03839122486288837,-0.1341307178099188,2024,2
2024-03-01,PE,4.16,5.78,27742.05,119140.25,PERNAMBUCO,NORDESTE,146882.3,0.18887265518037233,0.23285203782936498,0.7197231833910035,0.01760563380281699,0.10003014597020399,2024,3
2024-04-01,PE,4.37,5.9,27433.5,119552.9,PERNAMBUCO,NORDESTE,146986.4,0.18663971632749699,0.2294674575020765,0.7406779661016949,0.02076124567474058,0.0034635650000733875,2024,4
2024-05-01,PE,4.44,5.89,25061.55,122761.065,PERNAMBUCO,NORDESTE,147822.615,0.16953799660491733,0.20414901092622484,0.7538200339558575,-0.0016949152542373724,0.0268346899155103,2024,5
2024-06-01,PE,4.48,5.84,23439.2,116167.9,PERNAMBUCO,NORDESTE,139607.1,0.1678940397730488,0.2017700242493839,0.767123287671233,-0.008488964346349714,-0.0537072971792808,2024,6
2024-07-01,PE,4.69,6.06,27037.15,123225.85,PERNAMBUCO,NORDESTE,150263.0,0.17993218556797083,0.21941134916091065,0.773927392739274,0.03767123287671237,0.0607564568181056,2024,7
2024-08-01,PE,4.7,6.08,25868.15,128004.229,PERNAMBUCO,NORDESTE,153872.37900000002,0.1681143176450141,0.20208824506884066,0.7730263157894737,0.0033003300330034513,0.03877740750013081,2024,8
2024-09-01,PE,4.46,5.94,21009.15,124234.814,PERNAMBUCO,NORDESTE,145243.964,0.14464731904452843,0.16910839501075764,0.7508417508417508,-0.023026315789473673,-0.02944758176700557,2024,9
2024-10-01,PE,4.33,5.99,24889.0,133344.7,PERNAMBUCO,NORDESTE,158233.7,0.15729266268816314,0.18665158795212705,0.7228714524207012,0.008417508417508435,0.07332796425324073,2024,10
2024-11-01,PE,4.35,6.12,24893.2,123678.3,PERNAMBUCO,NORDESTE,148571.5,0.16755030406235383,0.2012737885304051,0.7107843137254901,0.02170283806343898,-0.0724918200723389,2024,11
2024-12-01,PE,4.38,6.18,28681.9,135023.45,PERNAMBUCO,NORDESTE,163705.35,0.1752044145166911,0.21242162009636104,0.7087378640776699,0.009803921568627416,0.09173112825774621,2024,12
